relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,,,,
18129,4.611460419,-5.318140869,3.404520264,984.9519348,27.01182365,,0,,
18196,5.673651581,-6.269861755,2.852767639,984.9519348,21.1692543,,0,,
18263,5.631139984,-6.681805115,3.406765594,984.9519348,17.85279465,,0,,
18329,8.380472717,-7.090904388,5.024152222,984.9519348,16.48707962,,0,,
18396,6.417305145,-7.477101288,5.410049744,984.9519348,15.00042534,,-0.004653931,,
18462,6.131100311,-9.124725037,0.316591644,984.9472809,12.22733498,,0,,
18528,5.290897522,-8.539142761,-0.677640839,984.9472809,5.13223505,,0,,
18596,6.136339417,-5.318290558,1.488055573,984.9472809,3.88275671,,0,,
18663,9.080716553,-8.255332947,1.771715698,984.9472809,2.500864029,,0,,
18728,7.02983139,-6.365063782,0.860859833,984.9472809,1.057620049,,0,,
18796,5.737418976,-5.517376556,1.552272034,984.9472809,359.4284973,,0,,
18863,6.849007416,-6.409820709,2.509082336,984.9472809,359.4284973,,0,,
18928,7.04629715,-6.175258484,2.228266296,984.9472809,1.953835011,,0,,
18996,7.455246735,-5.454806671,5.378764801,984.9472809,4.542412281,,0,,
19063,8.218060455,-7.544161835,2.178419952,984.9472809,359.8320923,,0,,
19129,9.308692474,-9.34895874,1.762734375,984.9472809,359.8320923,,0,,
19196,5.593867493,-6.595135345,0.466130676,984.9472809,355.8569336,,0,,
19263,3.493585052,-5.192701721,0.293539581,984.9472809,349.2267761,,0,,
19328,7.137906647,-10.63598236,-0.014819183,984.9472809,335.2506409,,-0.000839233,,
19396,3.877087555,-7.233408051,1.189875641,984.9464417,337.0906982,,0,,
19463,6.750362549,-4.872966614,4.126468964,984.9464417,341.3235779,,0,,
19529,5.013224945,-5.909411316,3.60615097,984.9464417,342.7201233,,0,,
19596,7.408693542,-7.732320557,3.738924866,984.9464417,341.1504211,,0,,
19662,7.5751474,-6.447392578,5.510640564,984.9464417,343.0075378,,0,,
19728,8.401578827,-9.29866333,2.087708588,984.9464417,341.4425659,,0,,
19796,4.929399261,-6.767277374,0.471968536,984.9464417,336.5873718,,0,,
19862,6.176306305,-6.549929352,1.041534119,984.9464417,335.2322693,,0,,
19928,8.481362915,-8.802445221,1.722917175,984.9464417,333.7223816,,0,,
19996,5.41753418,-5.041665802,0.728535004,984.9464417,336.0960999,,0,,
20063,6.264472961,-6.041885834,1.362616425,984.9464417,336.0960999,,0,,
20128,7.202422485,-7.287595367,2.978955231,984.9464417,339.698761,,0,,
20196,7.290140076,-6.578370209,2.465223541,984.9464417,345.0791321,,0,,
20263,8.110434265,-6.846911774,0.335602112,984.9464417,342.8448792,,0,,
20328,7.075336761,-6.840026093,3.491190033,984.9464417,337.8722534,,0,,
20396,9.203610992,-9.708361359,1.801803131,984.9464417,334.4572449,,0,,
20462,5.79070816,-6.378535767,0.517922974,984.9464417,332.8662415,,0,,
20528,3.117417297,-5.158273315,0.468675385,984.9464417,327.0706482,,0,,
20596,7.352111206,-13.36495743,3.786076813,984.9464417,320.1808472,,0,,
20663,6.035748596,-6.159541168,2.145039368,984.9464417,324.844574,,0,,
20728,3.859873352,-5.617967377,2.793790283,984.9464417,322.3972473,,0,,
20796,6.225404205,-6.825206909,2.763104095,984.9464417,321.2350159,,0,,
20863,5.391638031,-5.876928864,3.651207275,984.9464417,321.2350159,,0,,
20928,6.061794434,-6.089337158,3.137625275,984.9464417,319.4680786,,0,,
20996,7.334747314,-7.089407501,3.563339996,984.9464417,317.6926575,,0,,
21063,7.547604675,-6.899302826,3.600612488,984.9464417,317.6926575,,0,,
21129,5.080734558,-7.155569916,2.307601318,984.9464417,319.9985352,,0,,
21196,5.85507431,-9.204509125,-0.201031952,984.9464417,319.9985352,,0,,
21263,6.443350983,-5.962850189,0.043559418,984.9464417,319.9985352,,0.003509521,,
